brand,gender,type,price,rating,title,image_url
UNIQLO,men,T-shirt,320,4.2,UNIQLO DRY 快乾運動短袖,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+men+clothing
ZARA,men,T-shirt,650,4.3,ZARA 高級棉質簡約上衣,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+men+clothing
ZARA,men,Jeans,1290,4.4,ZARA 時尚修身黑色牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+men+clothing
ZARA,women,Jacket,2490,4.6,ZARA 優雅羊毛混紡長版大衣,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
ZARA,women,Jeans,1590,4.5,ZARA 高腰顯瘦牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+women+clothing
H&M,women,T-shirt,399,4.0,H&M 基礎棉質短袖上衣,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
H&M,women,Jacket,1290,4.3,H&M 時尚風衣夾克,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+women+clothing
H&M,men,Jacket,1390,4.2,H&M 街頭牛仔外套,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+men+clothing
H&M,men,Jeans,799,4.1,H&M 經典藍牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+men+clothing
H&M,women,Jeans,899,4.2,H&M 高腰媽媽牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
H&M,women,Dress,1190,4.4,H&M 優雅連身晚禮裙,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
H&M,men,T-shirt,449,3.9,H&M 印花圖案短袖T,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+men+clothing
GU,men,Jacket,1290,4.3,GU 暖感羽絨連帽外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+men+clothing
GU,men,Jeans,690,4.0,GU 舒適彈力牛仔褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+men+clothing
GU,women,Jacket,1190,4.2,GU 輕盈風衣外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+women+clothing
GU,women,Jeans,790,4.1,GU 修身直筒牛仔褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+women+clothing
GU,men,T-shirt,280,3.8,GU 基礎純色素T,https://source.unsplash.com/featured/500x500/?GU+T-shirt+men+clothing
GU,women,Dress,1290,4.3,GU 甜美蓬蓬裙連身裙,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
ZARA,men,Jacket,2290,4.5,ZARA 高質感防風運動外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+men+clothing
ZARA,women,T-shirt,520,4.2,ZARA 柔軟棉麻混紡上衣,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
UNIQLO,men,Jacket,1890,4.7,UNIQLO 超輕羽絨外套,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+men+clothing
UNIQLO,women,Dress,1790,4.6,UNIQLO 簡約長版連身裙,https://source.unsplash.com/featured/500x500/?UNIQLO+Dress+women+clothing
H&M,men,Dress,1590,4.3,H&M 紳士休閒連身服,https://source.unsplash.com/featured/500x500/?H%26M+Dress+men+clothing
GU,men,Dress,1390,4.0,GU 潮流連身服飾,https://source.unsplash.com/featured/500x500/?GU+Dress+men+clothing
ZARA,men,T-shirt,720,4.4,ZARA 進口高級棉T,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+men+clothing
H&M,women,T-shirt,549,4.1,H&M 時尚條紋短袖,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
UNIQLO,women,Jeans,990,4.7,UNIQLO 超彈力貼身牛仔褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
GU,men,Jeans,750,4.2,GU 寬鬆版牛仔褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+men+clothing
ZARA,women,Dress,1890,4.7,ZARA 高級亮面連身晚禮裙,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
ZARA,men,Jeans,1490,4.5,ZARA 精品水洗牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+men+clothing
H&M,men,T-shirt,599,4.2,H&M 優質棉混紡短袖,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+men+clothing
UNIQLO,men,T-shirt,410,4.4,UNIQLO 防曬UV短袖,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+men+clothing
ZARA,women,Jacket,1890,4.4,ZARA 時尚牛仔夾克,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
H&M,women,Jeans,1090,4.3,H&M 高腰顯瘦牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
GU,women,T-shirt,380,4.0,GU 棉麻混紡舒適上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,men,Jacket,1590,4.4,GU 暖感羽絨長版外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+men+clothing
UNIQLO,women,T-shirt,420,4.5,UNIQLO 莫代爾混紡短袖,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
H&M,men,Jeans,890,4.2,H&M 修身深藍牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+men+clothing
GU,women,T-shirt,320,4.1,GU 百搭純綿針織上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,women,T-shirt,330,4.2,GU 雙色寬鬆短袖上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,women,Jacket,1390,4.3,GU 質感長版風衣外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+women+clothing
GU,women,Jacket,1290,4.0,GU 簡約休閒工裝外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+women+clothing
GU,women,Jeans,850,4.1,GU 高腰直筒牛仔長褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+women+clothing
GU,women,Jeans,730,4.0,GU 舒適彈性牛仔短褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+women+clothing
GU,women,Dress,790,4.1,GU 簡約棉質襯衫洋裝,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
GU,women,Dress,1090,4.3,GU 浪漫蕾絲拼接連身裙,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
H&M,women,T-shirt,459,4.2,H&M 百搭條紋棉質上衣,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
H&M,women,T-shirt,499,4.3,H&M 夏日涼感竹節T,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
H&M,women,Jacket,1490,4.4,H&M 輕盈雙排扣外套,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+women+clothing
H&M,women,Jacket,1590,4.5,H&M 都會風長版風衣,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+women+clothing
H&M,women,Jeans,990,4.4,H&M 線條剪裁牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
H&M,women,Jeans,1090,4.5,H&M 高腰微喇牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
H&M,women,Dress,1390,4.4,H&M 棉麻休閒連衣裙,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
H&M,women,Dress,1590,4.5,H&M 荷葉邊洋裝,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
UNIQLO,women,T-shirt,360,4.3,UNIQLO 純色V領短袖,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
UNIQLO,women,T-shirt,430,4.4,UNIQLO 亞麻混紡上衣,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
UNIQLO,women,Jacket,1790,4.6,UNIQLO 超輕羽絨背心,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+women+clothing
UNIQLO,women,Jacket,1590,4.5,UNIQLO 機能防風外套,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+women+clothing
UNIQLO,women,Jeans,920,4.5,UNIQLO 高腰直筒牛仔褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
UNIQLO,women,Jeans,1050,4.6,UNIQLO 舒適牛仔寬褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
UNIQLO,women,Dress,1490,4.6,UNIQLO 簡約襯衫長裙,https://source.unsplash.com/featured/500x500/?UNIQLO+Dress+women+clothing
UNIQLO,women,Dress,1690,4.7,UNIQLO 知性簡約洋裝,https://source.unsplash.com/featured/500x500/?UNIQLO+Dress+women+clothing
ZARA,women,T-shirt,620,4.5,ZARA 荷葉邊棉質上衣,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
ZARA,women,T-shirt,680,4.4,ZARA 微透膚蕾絲短袖,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
ZARA,women,Jacket,1990,4.7,ZARA 小香風外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
ZARA,women,Jacket,1790,4.5,ZARA 皮革機能外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
ZARA,women,Jeans,1490,4.6,ZARA 修身中腰牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+women+clothing
ZARA,women,Jeans,1350,4.5,ZARA 寬鬆洗水牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+women+clothing
ZARA,women,Dress,2090,4.8,ZARA 優雅蕾絲晚禮裙,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
ZARA,women,Dress,1590,4.6,ZARA 波西米亞洋裝,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
GU,women,T-shirt,320,4.1,GU 百搭純綿針織上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,women,T-shirt,360,4.2,GU 雙色寬鬆短袖上衣,https://source.unsplash.com/featured/500x500/?GU+T-shirt+women+clothing
GU,women,Jacket,1390,4.4,GU 質感長版風衣外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+women+clothing
GU,women,Jacket,1490,4.3,GU 燈芯絨襯衫外套,https://source.unsplash.com/featured/500x500/?GU+Jacket+women+clothing
GU,women,Jeans,820,4.2,GU 高腰直筒牛仔褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+women+clothing
GU,women,Jeans,760,4.0,GU 韓系破洞牛仔褲,https://source.unsplash.com/featured/500x500/?GU+Jeans+women+clothing
GU,women,Dress,980,4.2,GU 簡約背心洋裝,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
GU,women,Dress,1150,4.3,GU 冬季針織洋裝,https://source.unsplash.com/featured/500x500/?GU+Dress+women+clothing
H&M,women,T-shirt,459,4.2,H&M 百搭條紋棉質上衣,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
H&M,women,T-shirt,479,4.3,H&M 亮眼印花T,https://source.unsplash.com/featured/500x500/?H%26M+T-shirt+women+clothing
H&M,women,Jacket,1390,4.3,H&M 經典牛仔外套,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+women+clothing
H&M,women,Jacket,1690,4.5,H&M 都會風短版外套,https://source.unsplash.com/featured/500x500/?H%26M+Jacket+women+clothing
H&M,women,Jeans,950,4.2,H&M 高腰窄管牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
H&M,women,Jeans,1120,4.4,H&M 舒適休閒牛仔褲,https://source.unsplash.com/featured/500x500/?H%26M+Jeans+women+clothing
H&M,women,Dress,1290,4.4,H&M 花漾長版洋裝,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
H&M,women,Dress,1490,4.6,H&M 經典襯衫裙,https://source.unsplash.com/featured/500x500/?H%26M+Dress+women+clothing
UNIQLO,women,T-shirt,380,4.4,UNIQLO 寬鬆運動短袖,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
UNIQLO,women,T-shirt,450,4.4,UNIQLO 天絲棉上衣,https://source.unsplash.com/featured/500x500/?UNIQLO+T-shirt+women+clothing
UNIQLO,women,Jacket,1690,4.5,UNIQLO 輕薄羽絨外套,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+women+clothing
UNIQLO,women,Jacket,1790,4.6,UNIQLO 中長款風衣,https://source.unsplash.com/featured/500x500/?UNIQLO+Jacket+women+clothing
UNIQLO,women,Jeans,980,4.5,UNIQLO 寬版復古牛仔褲,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
UNIQLO,women,Jeans,1120,4.7,UNIQLO 經典深藍牛仔,https://source.unsplash.com/featured/500x500/?UNIQLO+Jeans+women+clothing
UNIQLO,women,Dress,1590,4.7,UNIQLO 日系雪紡洋裝,https://source.unsplash.com/featured/500x500/?UNIQLO+Dress+women+clothing
UNIQLO,women,Dress,1890,4.8,UNIQLO 雙層雪紡連身裙,https://source.unsplash.com/featured/500x500/?UNIQLO+Dress+women+clothing
ZARA,women,T-shirt,640,4.6,ZARA 層次感短袖,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
ZARA,women,T-shirt,700,4.5,ZARA 菱格紋上衣,https://source.unsplash.com/featured/500x500/?ZARA+T-shirt+women+clothing
ZARA,women,Jacket,2090,4.7,ZARA 羊毛混紡外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
ZARA,women,Jacket,1990,4.6,ZARA 極簡西裝外套,https://source.unsplash.com/featured/500x500/?ZARA+Jacket+women+clothing
ZARA,women,Jeans,1590,4.6,ZARA 錐形牛仔褲,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+women+clothing
ZARA,women,Jeans,1450,4.5,ZARA 質感淺色牛仔,https://source.unsplash.com/featured/500x500/?ZARA+Jeans+women+clothing
ZARA,women,Dress,1790,4.7,ZARA 薄荷碎花洋裝,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
ZARA,women,Dress,2190,4.8,ZARA 經典剪裁晚禮服,https://source.unsplash.com/featured/500x500/?ZARA+Dress+women+clothing
